state,clim_zone,compl_year,proj_type,ibc_type,park_type,gfa_w_park_imp,gfa_ext_imp,gfa_park_imp,prim_bldg_use,gfa_prim_imp,sec_bldg_use,gfa_sec_imp,occupancy,res_units,bldg_height,therm_env_area,wwr,r_value_walls,r_value_roofs,certifications,seis_site_cls,sdc,wind_speed,str_prim_horiz_sys,str_prim_vert_sys,str_lat_sys,podium,str_sec_horiz_sys,str_sec_vert_sys,col_grid_long,col_grid_short,fdn_type,design_phase,purp_of_assessment,ec_reductions,ec_reduction_percent,ec_redux_bldg_reuse,ec_redux_mat_reuse,ec_redux_alt_str_sys,ec_redux_str_bio_mat,ec_redux_nonstr_bio_mat,ec_redux_str_optimize,ec_redux_concrete_optimize,ec_redux_ext_env_optimize,ec_redux_int_fin_optimize,gfa_without_park_imp,gfa_w_park_m,gfa_without_park_m,gfa_prim_m,gfa_sec_m,gfa_park_ratio,stories_above_grade_bins,stories_below_grade_bins,gfa_w_park_imp_bins,software_version_bins,physical_scope_bins,structural_material_bins,eci_A_to_C,eci_A1-A3,eci_A4,eci_B4-B5,eci_C2-C4,eci_D,eci_A_to_C_substr,eci_A_to_C_superstr,eci_A_to_C_enc,eci_A_to_C_int_con,eci_A_to_C_int_fin,eci_A_to_C_unknown
British Columbia,Zone 3B (Warm Dry),2023,New Construction,Type I-A,"Above grade, within footprint of main structure",509662,,,Office,509662,,,,,133.8333333,,,,,"LEED 4.0 Platinum
WELL v.2 Gold
LBC Materials
California Net Zero",C,D,120,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,30,30,Deep foundation < 50' (15m),Construction,Required: LEED Proposed,Yes,0.19,No,Yes,Yes,No,No,Yes,Yes,No,No,509662,47349.12879,47349.12879,47349.12879,,0,11 or more,0,"Over 400,000",Tally LCA,SE,Concrete,288.5343289,288.1841714,7.339973008,4.813107622,37.28086555,-48.46881415,71.5558507,243.0274738,17.6590585,4.852692559,51.85474999,
British Columbia,Zone 5A (Cool Humid),2024,New Construction,Type I-A,No Parking,270000,0,0,Health Care (Inpatient),270000,,,2062,0,94,130600,0.4,,,LEED v4.0 Silver,D,C,127,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Moment frames,Primary system defined above is on a podium,Concrete: Non-PT framing,Concrete: CIP,35,35,Deep foundation > 50' (15m),Construction,Voluntary: Internal Benchmarking,Yes,0.106,No,No,Yes,No,Yes,No,Yes,Yes,Yes,270000,25083.81,25083.81,25083.81,,0,6 to 10,2,"200,001-400,000",Tally LCA,SEI,Steel,467.3399903,578.5203006,8.225732071,74.52405481,58.04161217,-72.71132474,92.9129628,376.1698917,104.5526706,37.38763293,63.08420872,
British Columbia,Zone 1A (Very Hot Humid),2024,New Construction,Type I-A,No Parking,122179,0,0,Office,88064,Education,9538,1330,0,90,122179,0.75,,,LEED v4.0 Gold (confirm),D,A,175,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Primary system defined above is a podium,,,20.3,21.3,Shallow foundation,Construction,Voluntary: Internal Benchmarking,Yes,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,122179,11350.79564,11350.79564,8181.409792,886.108814,0,6 to 10,0,"100,001-200,000",Tally LCA,SEI,Concrete,422.3811309,444.1906694,5.752314999,27.49357075,58.18404887,-70.17209235,108.8161763,346.8815791,46.02635794,13.88501333,74.75712093,0.003113709
British Columbia,Zone 5B (Cool Dry),2024,New Construction,Type I-A,Below Grade,994378,,204270,Office,779926,Mercantile (Retail Other Than Mall),10182,,0,411.5,,0.68,,,Leed v4.0 Platinum,C,B,113,Steel: Frame + concrete on metal deck,Steel: Columns,Concrete: Shear walls,Not a podium building,,,35.6,30,Deep foundation > 50' (15m),Construction Documents,Required: LEED Proposed,No,,No,No,No,No,No,No,No,No,No,790108,92380.69933,73403.40352,72457.46518,945.938346,0.258534276,11 or more,2,"Over 400,000",One Click LCA,SE,Steel/Concrete,398.9634334,387.8784867,35.64797911,2.849979508,8.392525582,,143.110817,181.5339768,108.8559404,,90.62375662,
British Columbia,Zone 3C (Warm Marine),2020,New Construction,Type I-A,No Parking,90425,,,Education,90425,,,1118,,50,,,,,LEED v4.1 Gold (Target),C,D,115,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,22,35,Shallow foundation,Completed,Required: LEED Proposed,No,0,No,No,No,No,No,No,No,No,No,90425,8400.753775,8400.753775,8400.753775,,0,2 to 5,0,"50,001-100,000",One Click LCA,SE,Concrete,325.4743903,447.6801893,44.31055474,7.797930014,11.82906114,,263.056791,100.9935016,147.5674425,,,
California,Zone 4C (Mixed Marine),2018,New Construction,Type I-A,No Parking,147168,0,0,Lodging,147168,Other,0,2901,220,150,67161,0.36,21,22,,D,D,120,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,20,20,Shallow foundation,Completed,Voluntary: Internal Benchmarking,No,0,No,No,No,No,No,No,No,No,No,147168,13672.3487,13672.3487,13672.3487,0,0,11 or more,1,"100,001-200,000",Tally LCA,SE,Concrete,574.0500301,276.5367371,2.001129389,25.84191692,27.60921375,-20.3965922,3.61355576,257.6425781,19.4389556,11.67025459,0.190098888,0.409552024
California,Zone 1A (Very Hot Humid),2025,New Construction,Type I-B,"Above grade, within footprint of main structure",194110,0,36357,Office,120237,Mercantile (Retail Other Than Mall),8915,1566,0,141,136028,0.48,,,LEED v4.0 Silver,D,A,175,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,29.5,25,Deep foundation < 50' (15m),Construction Documents,Voluntary: Internal Benchmarking,Yes,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,157753,18033.40133,14655.72696,11170.37801,828.230245,0.230467883,6 to 10,0,"100,001-200,000",Tally LCA,SEI,Concrete,423.2881997,300.3806742,4.913581989,23.76956846,45.41895642,-43.0979295,6.260414267,222.0395363,118.8788298,12.65151102,0.320928946,
California,Zone 3B (Warm Dry),2022,New Construction,Type I-B,"Above grade, within footprint of main structure",216820,,208936,Parking,208936,Office,5260,150,0,60,23298,0.355,15,30,LEED v4.1 Platinum,C,D,95,Concrete: PT framing,Concrete: CIP,Concrete: Moment frames,Not a podium building,,,63,18,Shallow foundation,Construction,Required: LEED Proposed,Yes,0.14,No,No,No,No,No,No,Yes,No,No,7884,20143.22846,732.447252,19410.78121,488.66978,26.50126839,2 to 5,0,"200,001-400,000",Tally LCA,SEI,Concrete,362.0935039,22.6785991,0.531879242,1.815478724,2.414861712,-3.776117661,7.482144882,9.479820593,8.284436577,0.359144936,0.437539507,0.029241155
California,Zone 3C (Warm Marine),2020,New Construction,Type I-B,"Above grade, within footprint of main structure",363579,0,0,Residential: Mulitfamily (5 or more units),327221.1,Mercantile (Retail Other Than Mall),36357.9,2663,595,58,325838,0.32,15.3,22.2,LEED v 4.0 Gold,C,D,110,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,25,25,Shallow foundation,Construction,Voluntary: Design Milestone Tracking,Yes,0.31,No,No,No,No,No,No,Yes,Yes,Yes,363579,33777.57984,33777.57984,30399.82185,3377.757984,0,6 to 10,0,"200,001-400,000",Tally LCA,SEI,Concrete,361.8525909,352.9951652,4.253736296,56.58371945,32.12804614,-47.04618787,12.63040798,262.9045158,73.30381894,19.65938892,0.630253342,2.25432439
California,Zone 6B (Cold Dry),2023,New Construction,Type I-B,Below Grade,287000,,84000,Laboratory - Wet,133000,Mercantile (Retail Other Than Mall),48000,,,65,92000,,,,LEED v4.1,C,B,127,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,,,44,33,Shallow foundation,Construction Documents,Required: LEED Baseline,No,0,No,No,No,No,No,No,No,No,No,203000,26663.161,18859.309,12356.099,4459.344,0.413793103,2 to 5,2,"200,001-400,000",Tally LCA,Missing Substructure,Steel,469.6194313,460.4987688,4.46640233,4.149544202,34.88432821,-35.20025787,13.70392775,451.5389985,34.91254381,0.541628292,1.126945885,0.558453795
California,Zone 6B (Cold Dry),2023,New Construction,Type I-B,Below Grade,287000,,84000,Laboratory - Wet,133000,Mercantile (Retail Other Than Mall),48000,,,65,92000,,,,LEED v4.1,C,B,127,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,,,44,33,Shallow foundation,Construction Documents,Required: LEED Baseline,No,0,No,No,No,No,No,No,No,No,No,203000,26663.161,18859.309,12356.099,4459.344,0.413793103,2 to 5,2,"200,001-400,000",Tally LCA,Unknown,Steel,470.9269917,427.3380981,4.379391208,10.07449764,29.13500472,-35.06140984,13.70392775,411.0276823,45.42840922,,1.183201352,
California,Zone 2A (Hot Humid),2024,New Construction,Type I-A,"Above grade, within footprint of main structure",746966,51052,181552,Residential: Mulitfamily (5 or more units),565414,Mercantile (Retail Other Than Mall),4852,6281,559,300,413247,0.3,19,25,Austin Energy Green Building 1 Star,B,A,115,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Primary system defined above is on a podium,Steel: Other,Steel: Other,30,30,Deep foundation < 50' (15m),Construction,Voluntary: Internal Benchmarking,No,,No,No,No,No,No,No,No,Yes,No,565414,69395.3823,52528.65684,52528.65684,450.765356,0.321095693,11 or more,0,"Over 400,000",Tally LCA,SEI,Concrete,618.6812734,341.2390638,3.813155685,69.13797363,41.46053946,-44.70415285,19.17172761,266.5625844,76.10322912,33.3993919,2.456788097,0.011581883
California,Zone 4C (Mixed Marine),2027,New Construction,Type I-A,Below Grade,742785,0,153425,Health Care (Inpatient),467000,Mercantile (Retail Other Than Mall),2893,5036,0,249,359438,0.4,,,,C,D,109,Steel: Frame + concrete on metal deck,Steel: Columns,Concrete: Moment frames,Not a podium building,,,32,32,Shallow foundation,Construction Documents,Voluntary: Internal Benchmarking,No,,No,No,No,No,No,Yes,No,Yes,Yes,589360,69006.95486,54753.31208,43385.701,268.768379,0.260324759,11 or more,3,"Over 400,000",Tally LCA,SEI,Steel/Concrete,784.5166301,516.0022432,7.717478378,82.65929994,29.48826032,-38.83399377,20.79795057,393.312829,100.4699772,53.51534125,3.604419756,
California,Zone 6B (Cold Dry),2021,New Construction,Type I-B,No Parking,186079,0,0,Office,186079,,,1854,0,144.5,124964,0.59,,,,C,C,105,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,,,45.25,20,Shallow foundation,Completed,Voluntary: Internal Benchmarking,No,,No,No,No,No,No,No,No,No,No,186079,17287.29734,17287.29734,17287.29734,,0,6 to 10,0,"100,001-200,000",Tally LCA,SEI,Steel,454.8064062,285.7016811,3.630665855,7.994154315,23.37480545,-12.97893473,21.03353255,230.6171433,40.74089996,8.893566847,4.014377206,
California,Zone 5A (Cool Humid),2022,New Construction,Type I-B,"Above grade, within footprint of main structure",312782,18030,81156,Office,231626,,,2444,0,83,247302,0.62,30,30,LEED v4 & WELL,D,B,120,Steel: Frame + concrete on metal deck,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,30,38,Deep foundation < 50' (15m),Completed,Voluntary: Internal Benchmarking,Yes,0.19,No,No,No,No,No,No,Yes,No,No,231626,29058.38615,21518.75028,21518.75028,,0.350375174,2 to 5,0,"200,001-400,000",Tally LCA,SEI,Steel/Concrete,556.244941,323.6971726,3.939460225,28.55884541,46.83266169,23.79887965,23.15552612,304.5460741,47.83085614,9.248242448,4.602539874,
California,Zone 5A (Cool Humid),2024,New Construction,Type I-B,No Parking,202000,0,0,Education,202000,,,3107,0,45,175000,0.25,,,LEED v4.0 Silver,D,B,137,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,,,30,30,Shallow foundation,Construction,Voluntary: Internal Benchmarking,No,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,202000,18766.406,18766.406,18766.406,,0,2 to 5,0,"200,001-400,000",Tally LCA,SEI,Steel,485.6478634,406.8914421,5.115575835,54.70125706,39.72540002,-54.5001361,23.44840316,329.6880546,73.6935163,16.34578954,5.258696237,0.005117652
California,Zone 5B (Cool Dry),2021,New Construction,Type I-B,Below Grade,259500,,64200,Office,195300,,,,0,109.33,,,,,Leed v4.0 Gold,D,B,115,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,44.33,30,Deep foundation < 50' (15m),Construction Documents,Required: LEED Proposed,No,,No,No,No,No,No,No,No,No,No,195300,24108.3285,18143.9559,18143.9559,,0.328725038,6 to 10,2,"200,001-400,000",One Click LCA,SE,Concrete,407.1487407,383.1916945,31.68038547,2.242795887,15.13128917,,24.81084203,285.7370883,121.6982347,,5.964533368,
California,Zone 4A (Mixed Humid),,New Construction,Type I-B,No Parking,90595,0,0,Laboratory - Wet,43700,Office,30800,585,0,84.9,9190,0.27,,,,D,B,98,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,22,27.7,Deep foundation < 50' (15m),Construction Documents,Voluntary: Internal Benchmarking,Yes,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,90595,8416.547285,8416.547285,4059.8611,2861.4124,0,6 to 10,1,"50,001-100,000",Tally LCA,SEI,Concrete,548.3315541,620.9802463,7.909330311,1.621184516,81.41507341,-20.38892835,25.04843799,506.1304591,160.3972111,12.04363036,6.584690259,
California,Zone 5A (Cool Humid),2024,New Construction,Type I-B,No Parking,695070,,,Health Care (Inpatient),695070,,,1132,,240,,,,,LEED v4.0 Platinum (Target),C,A,120,Steel: Frame + concrete on metal deck,Steel: Columns,Steel: Braced frames,Not a podium building,,,40,30,Deep foundation > 50' (15m),Construction,Required: LEED Proposed,Yes,0.15,No,No,Yes,No,No,Yes,Yes,No,No,695070,64574.08821,64574.08821,64574.08821,,0,11 or more,2,"Over 400,000",One Click LCA,SE,Steel,504.9258675,321.8584054,20.98437961,1.934530451,12.82426238,,28.28351759,306.5624747,16.90841761,,7.498172922,5.847167966
California,Zone 3B (Warm Dry),2021,New Construction,Type I-B,No Parking,214251,,0,Residential: Mulitfamily (5 or more units),75806,Public Assembly,17188,3693,170,86,149665,0.462,17,21,LEED 2009 Platinum,D,D,115,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Primary system defined above is on a podium,Concrete: PT framing,Concrete: CIP,24,20,Shallow foundation,Completed,Voluntary: Other,Yes,,No,No,No,No,No,No,Yes,Yes,Yes,214251,19904.56065,19904.56065,7042.604818,1596.816764,0,6 to 10,1,"200,001-400,000",Tally LCA,SEI,Concrete,265.8951237,380.8430835,10.16823487,35.34893625,59.28760881,-50.23248684,29.67945813,264.7095248,119.6336745,12.91129518,8.306096104,0.432712524
California,Zone 4C (Mixed Marine),2024,New Construction,Type I-B,Below Grade,151728.081,,66520.97,Office,148228.081,Mercantile (Retail Other Than Mall),3500,,,190.02625,191768,0.46,50,30,"Pursued: LEED CS v4 Platinum (core and shell), WELL v2 Gold/Platinum (core), CaGBC Zero Carbon Building v2 Design, Salmon Safe for Urban Developments",A,,,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,30,21,Deep foundation < 50' (15m),Construction Documents,Voluntary: Hot Spot Analysis,Yes,0.42,No,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,85207.111,14095.99391,7915.996233,13770.83341,325.1605,0.7806974,11 or more,3,"100,001-200,000",One Click LCA,SEI,Concrete,244.8842864,520.5606378,52.4765385,268.4270328,86.88871327,,34.60565698,291.2375726,157.3365791,318.2404336,10.39855875,83.67890889
California,Zone 2B (Hot Dry),2020,New Construction,Type I-B,No Parking,56029,,,Education,56029,Other,,886,,61.5,,,13,20,,C,B,120,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,31.25,25,Shallow foundation,Construction,Voluntary: Design Iteration Analysis,Yes,,,,,,,,,,,56029,5205.262187,5205.262187,5205.262187,,0,2 to 5,0,"50,001-100,000",Tally LCA,SEI,Concrete,112.6259631,575.0623156,5.342338641,86.71385884,41.47010209,-102.0315226,37.87864644,400.4102294,118.1235853,39.6461642,13.49178492,11.30447583
California,Zone 4A (Mixed Humid),2025,New Construction,Type I-B,No Parking,174577,0,0,Residential: Mulitfamily (5 or more units),128485,Public Assembly,3500,234,220,201,78549,0.84,,,LEED v4.0 Gold,B,B,98,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,25,25,Deep foundation < 50' (15m),Construction,Voluntary: Internal Benchmarking,No,,No,No,No,No,No,Yes,No,Yes,Yes,174577,16218.72703,16218.72703,11936.64196,325.1605,0,11 or more,2,"100,001-200,000",Tally LCA,SEI,Concrete,547.4803008,415.772028,5.269250395,72.41038543,48.41497736,-15.72895304,39.70303478,275.0808481,93.12171697,52.93697817,15.56431235,
California,Zone 4C (Mixed Marine),2021,New Construction,Type I-A,Below Grade,766545,0,196999,Residential: Mulitfamily (5 or more units),543375,Mercantile (Retail Other Than Mall),5095,812,548,345,376199,0.81,,,LEED v4.0 Silver,D,D,110,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Primary system defined above is on a podium,Concrete: PT framing,Concrete: CIP,31,20,Shallow foundation,Completed,Voluntary: Internal Benchmarking,No,,No,No,No,No,No,No,No,No,No,569546,71214.33014,52912.53204,50481.16763,473.340785,0.345887777,11 or more,5 or more,"Over 400,000",Tally LCA,SEI,Concrete,782.8343747,605.2895228,5.406693218,50.98912839,62.81419705,-99.67824714,40.59242629,478.7832564,102.2689371,61.79864006,15.72314424,
California,Zone 4C (Mixed Marine),2024,New Construction,Type I-B,No Parking,241426,,,Public Assembly,241426,,,5244,,106,,,,,LEED v4.1 Gold,C,D,105,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,38,30,Shallow foundation,Construction Documents,Required: LEED Proposed,Yes,0.3,No,No,No,No,No,Yes,Yes,No,No,241426,22429.19968,22429.19968,22429.19968,,0,6 to 10,1,"200,001-400,000",One Click LCA,SE,Concrete,580.2145877,238.7299323,2.154602607,9.120188546,7.518251638,,41.45853813,124.6240566,82.07832312,1.685336104,17.55593448,5.219933019
California,Zone 4C (Mixed Marine),2017,New Construction,Type I-A,Below Grade,128728,,,Parking,128728,,,,,36,,,,,,D,D,110,Concrete: PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,,,27,26,Deep foundation < 50' (15m),Completed,Voluntary: Internal Benchmarking,No,,No,No,No,No,No,No,No,No,No,128728,11959.21738,11959.21738,11959.21738,,0,1,4,"100,001-200,000",Tally LCA,Unknown,Concrete,862.1409183,354.2464366,4.04963768,70.12407798,43.90928008,-1.440150597,42.47219574,258.0919414,162.6732696,5.487605905,18.24744109,
California,Zone 5A (Cool Humid),2026,New Construction,Type I-A,Below Grade,316541.95,,63318.37,Residential: Mulitfamily (5 or more units),313541.95,Mercantile (Retail Other Than Mall),3000,,377,203.084,250402.93,0.29,35,50,Pursued: PHIUS+2021,B,,,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Primary system defined above is on a podium,,,30,21,Shallow foundation,Construction Documents,Voluntary: Hot Spot Analysis,Yes,0.21,No,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,253223.58,29407.69678,23525.23025,29128.98778,278.709,0.250049265,11 or more,1,"200,001-400,000",One Click LCA,SEI,Concrete,566.4849822,340.9791601,38.95444579,144.2724801,26.0940502,,43.84742231,244.7301519,163.3460796,29.0927442,19.24614781,2.470800095
